kalpi,sum,Abeba David,Abeba Lior,Akunis Ofir,Amsalem David,Azbera Goma,Barak Keren,Barkat Nir,Ben Pinhas Yoseg Eyal,Berko Anat,Bitan David,Boker Navah,Cohen Fernand,Davidi Eli,Dichter Avi,Dichter Avital,Edelstein Yuli,Elkin Zeev,Erdan Gilad,Fadida Nissim,Fleishman Zeev,Fridelman Hinda,Galant Yoav,Gamliel Gila,Glick Yehuda,Golan May,Halabi Rafe,Halevi Shosh,Hanegbi Tsahi,Haskel Sharen,Hazah Oren,Hetayev Faisal,Hieb Hassan,Hirshman Nir,Hotoveli Tzipi,Ilgiev Gregory,Kaidaba Samir,Kara Iub,Katz Haim,Katz Israel,Kish Yoav,Koren Nurit,Krinawi Atef,Levin Yariv,Lovovikov Michael,Maharat Gilad,Malka Elad,Mark Osnat,Mazuz Yaron,Moses Heidi,Mula Patin,Mustafa Gihad,Nager Yoel,Nahon Tzofia,Negosa Avraham,Nevuani Osama,Ohana Amir,Parhat Ata,Pasal Moshe,Pinto Jacky,Regev Miri,Saar Gidon,Salah Salah,Sefadi Mendi,Sela Noam,Shitrti Kathy,Shtagman Ayala,Shteinits Yuval,Taya Dima,Vidar Yaakov,Yogev Mot,Yona Elad,Zohar Mickey
101603,1633,6,2,44,49,1,27,77,0,26,50,15,2,12,61,6,72,35,52,2,1,1,62,40,31,15,0,0,58,51,35,0,1,22,57,2,1,36,32,68,64,28,0,60,1,0,2,7,24,0,13,3,1,2,5,0,69,12,16,3,78,65,7,0,5,29,4,43,6,2,3,9,20
101604,1318,5,1,33,35,0,26,59,0,14,33,11,0,19,48,1,71,28,43,0,1,0,48,41,29,12,1,0,52,36,23,1,3,19,31,2,2,30,33,56,36,30,2,37,1,0,4,7,26,1,19,3,1,2,10,1,50,10,13,0,52,53,10,1,1,19,0,36,7,0,7,10,22
101605,1316,3,1,19,31,1,25,56,0,19,30,17,0,16,57,4,58,31,48,2,1,1,61,37,20,5,0,0,54,39,33,1,0,9,45,1,0,29,33,64,43,19,1,46,0,1,3,5,28,2,7,0,1,0,6,0,55,16,1,2,70,48,2,0,2,27,2,39,5,1,3,13,17
101701,960,2,1,31,24,2,16,43,0,19,23,7,1,14,41,5,28,30,35,1,4,0,39,32,21,7,0,0,30,22,13,1,1,13,28,0,1,11,23,41,28,17,1,43,1,0,3,12,7,5,7,1,4,0,5,3,34,0,4,1,28,41,7,0,8,9,4,42,2,9,3,3,18
101702,970,1,0,34,27,3,13,37,1,17,25,14,1,17,39,3,34,17,36,0,2,0,42,27,16,5,0,0,30,22,12,0,2,15,40,0,0,25,16,45,21,12,2,48,1,0,5,8,7,2,7,0,2,0,3,2,40,1,3,1,28,44,8,0,11,15,0,44,2,7,0,2,26
101703,963,2,1,36,26,1,11,37,0,23,25,5,0,19,47,3,27,23,36,1,1,2,51,38,15,5,2,0,38,27,13,1,0,18,31,0,0,14,10,47,21,14,0,39,0,1,0,18,4,2,6,2,3,3,0,0,36,4,2,0,31,44,8,1,5,1,0,42,0,14,5,2,19
101704,1014,0,3,36,31,7,17,39,2,18,33,10,4,15,49,7,44,23,38,2,5,1,41,32,15,6,3,2,31,19,16,1,2,15,34,3,0,15,13,50,25,13,0,43,0,2,2,9,5,2,5,1,0,4,10,0,32,0,2,1,24,39,7,0,9,13,1,48,3,8,4,3,17
101705,1018,1,0,35,41,2,11,42,1,29,32,11,0,15,45,2,28,24,44,0,1,0,42,25,13,1,0,1,30,16,18,0,1,17,36,0,0,22,19,47,29,11,0,45,0,0,4,10,6,1,6,0,3,0,4,1,41,4,3,1,40,43,6,1,10,11,0,54,1,10,1,1,19
101706,971,4,1,28,31,7,13,42,0,19,19,12,1,14,41,2,31,29,34,0,1,0,37,25,18,2,0,1,23,17,15,1,1,17,34,1,2,19,23,46,26,12,0,46,0,0,5,8,6,3,6,1,3,2,5,0,36,4,6,0,39,42,6,1,10,11,1,50,2,10,1,2,16
101707,959,3,2,29,31,4,14,47,0,25,26,12,0,12,47,3,33,21,33,0,0,0,53,28,17,2,2,0,33,19,13,0,1,17,35,0,0,22,9,43,23,10,0,38,2,0,3,8,4,1,8,0,0,0,2,0,34,2,1,0,43,45,6,0,9,13,0,40,3,7,0,1,20
101708,978,1,1,23,32,3,18,51,1,22,35,11,0,9,39,4,41,23,41,1,3,1,39,24,11,9,3,0,28,21,13,0,0,13,41,2,1,15,24,35,20,11,1,39,1,2,1,7,10,1,7,0,1,0,12,0,34,2,8,0,37,50,6,0,8,11,0,40,5,5,4,2,14
101709,958,3,1,36,29,6,17,33,1,27,27,10,1,19,43,4,30,20,35,2,4,0,39,32,8,6,2,0,18,20,15,1,0,14,32,1,0,7,16,45,18,14,1,49,1,2,3,10,5,3,5,1,5,1,3,0,36,1,7,0,31,42,10,0,10,8,1,49,1,9,1,2,25
101710,971,3,0,35,22,8,13,49,0,29,22,10,0,13,52,5,25,27,38,0,3,3,42,26,14,6,0,0,37,22,10,0,2,13,31,2,1,14,13,38,28,14,1,46,3,0,5,6,6,2,8,1,3,3,4,3,33,3,3,0,30,43,6,0,6,9,2,44,6,7,4,2,12
101711,958,3,1,28,25,2,13,42,0,24,23,10,2,17,39,3,30,27,32,2,1,0,37,28,17,10,1,0,25,25,15,0,1,17,30,0,2,22,12,40,28,13,1,41,0,0,3,11,4,0,8,1,2,0,4,1,42,1,6,0,36,40,10,0,10,14,1,38,6,8,3,0,20
101712,888,3,3,36,28,3,7,36,0,24,25,10,0,9,40,4,36,20,35,2,3,1,44,27,11,10,1,0,20,18,13,0,1,6,33,1,2,15,14,36,28,8,3,38,0,2,5,3,7,2,4,1,0,0,7,0,34,3,3,0,36,34,2,2,4,9,4,33,6,4,2,1,26
101713,992,2,0,33,35,4,9,38,2,20,22,13,0,14,45,2,27,21,44,2,3,0,53,29,11,6,1,0,27,17,22,0,1,11,38,0,0,22,19,41,26,8,0,44,0,1,5,13,6,0,2,1,1,0,7,1,40,0,4,0,42,46,6,1,11,11,2,47,2,9,1,1,20
101714,998,4,1,39,30,3,15,41,0,26,29,14,0,16,44,1,29,25,41,1,2,0,43,39,14,8,1,0,31,23,19,0,0,15,28,0,1,21,18,46,21,14,0,42,0,0,1,9,4,0,4,1,3,0,9,0,30,4,4,0,37,44,6,1,7,11,0,40,0,8,5,0,25
101715,1003,2,0,42,19,6,8,42,0,25,15,13,1,14,45,7,32,28,37,2,2,0,57,25,13,11,3,2,30,17,10,3,1,11,35,0,2,22,17,43,25,7,3,48,1,1,0,10,2,1,2,0,0,1,7,0,35,4,7,0,34,48,8,1,8,16,0,43,3,10,5,4,27
101716,991,3,1,36,19,0,7,33,1,28,17,12,1,12,47,6,39,27,41,0,0,0,42,20,16,3,0,0,31,24,10,0,0,14,44,1,0,27,20,49,23,9,1,47,0,0,3,9,6,0,3,0,0,0,6,0,38,3,2,0,35,52,10,0,11,11,0,52,3,11,2,0,23
101717,1007,7,2,29,34,8,12,42,0,28,27,19,1,8,43,4,39,23,41,1,1,0,39,34,13,11,0,0,29,30,16,0,1,5,34,0,3,21,18,43,32,10,0,39,6,0,2,6,4,1,3,1,0,2,10,0,32,3,6,2,36,54,4,0,6,7,1,44,5,3,1,0,21
101801,1302,6,5,37,38,1,24,36,0,25,42,10,0,17,37,1,44,28,75,1,4,0,40,61,30,8,1,0,35,30,18,0,1,7,44,0,0,21,28,71,37,25,0,76,0,0,4,4,5,0,9,0,2,2,7,0,40,2,3,1,56,61,1,13,2,4,1,45,5,3,3,14,51
101802,1025,2,1,36,36,1,18,28,0,16,40,5,0,16,28,1,36,26,46,0,4,0,45,40,19,5,1,0,23,11,17,1,1,5,39,0,0,15,28,57,31,14,0,56,3,0,7,1,3,0,2,0,1,1,7,0,31,3,6,1,49,44,0,10,2,5,3,44,3,1,1,10,39
101803,1177,4,3,32,34,1,19,44,1,20,36,3,0,18,36,2,44,33,54,3,6,0,48,40,29,14,0,0,30,14,17,1,2,12,51,2,0,22,29,59,32,13,0,60,4,0,5,0,2,1,3,1,0,1,12,1,36,3,6,4,48,47,0,10,0,11,4,49,6,3,2,13,37
101804,1298,5,4,50,44,2,24,30,0,30,45,9,0,19,26,3,53,32,74,0,3,0,53,51,23,10,2,2,33,24,25,2,1,8,48,1,2,26,27,66,32,20,0,65,1,0,5,4,3,0,5,0,0,2,6,1,47,0,5,1,56,57,0,11,1,7,2,38,5,2,1,13,51
101805,1637,14,9,53,46,1,29,33,0,31,56,7,0,29,36,2,58,38,85,0,4,2,65,66,15,3,1,0,43,22,20,0,1,4,66,1,3,22,42,84,59,28,4,94,1,1,7,4,6,1,2,1,2,3,8,2,58,3,8,1,70,72,2,24,2,7,6,52,10,7,3,25,73
101806,1295,5,2,34,35,2,24,38,0,23,48,8,0,21,44,2,50,30,68,1,7,0,47,49,30,14,2,0,33,15,17,2,2,7,48,0,0,24,32,62,40,27,1,70,3,1,3,4,4,2,9,1,0,4,8,1,37,5,2,1,46,44,3,15,1,7,2,46,9,2,0,16,55
101901,1056,6,1,32,13,1,15,50,0,25,17,9,0,1,41,4,55,36,40,0,3,0,40,44,27,9,1,0,40,40,14,1,1,15,25,1,0,14,22,49,32,19,0,39,4,0,18,3,11,2,15,1,0,0,8,1,35,4,0,0,35,54,1,1,0,10,2,38,5,1,3,2,20
101902,1144,6,0,31,14,0,21,56,0,18,28,2,0,4,36,2,63,40,46,0,4,0,31,46,21,9,0,0,40,37,20,0,1,18,40,0,0,20,25,69,36,22,0,40,11,1,12,7,22,1,12,1,0,1,2,0,39,2,1,2,43,52,3,1,3,16,1,33,3,0,5,3,21
101903,1045,5,3,28,24,0,15,50,0,15,24,0,0,7,34,2,56,28,49,1,5,0,39,37,19,12,0,0,34,33,12,1,2,17,29,0,0,21,22,53,33,21,1,29,3,1,13,6,20,0,9,1,2,1,9,4,36,3,2,0,36,42,8,0,2,11,1,38,3,2,10,1,20
101904,1014,3,2,30,10,1,20,48,0,23,16,8,0,0,32,3,63,33,44,0,1,2,30,41,26,3,0,0,39,44,5,1,1,22,25,0,0,13,20,47,33,28,0,36,4,1,12,2,11,1,21,0,2,0,6,2,34,4,0,0,27,50,0,1,3,17,3,35,6,3,1,1,14
101905,1031,2,3,31,23,0,18,45,0,18,15,1,0,8,30,3,53,21,35,0,10,1,37,34,17,15,0,0,38,37,12,3,1,18,36,0,0,17,18,38,38,25,0,27,11,1,18,4,16,1,13,0,1,2,15,3,41,0,3,0,38,36,8,0,1,11,3,30,7,3,10,1,26
101906,1014,7,1,26,19,0,18,43,0,13,28,6,1,7,44,2,51,27,32,0,11,0,34,42,16,11,0,0,30,26,11,1,0,15,37,1,0,14,28,51,32,23,0,32,7,0,8,4,19,0,13,1,0,2,10,3,30,0,4,0,44,33,6,2,0,15,0,30,1,1,8,1,32
101907,959,5,1,20,16,1,16,40,0,15,20,3,0,5,33,2,53,25,36,0,6,0,33,35,23,10,1,0,29,34,11,1,1,17,29,0,0,15,27,43,36,18,1,36,10,0,17,7,14,1,18,0,0,0,9,1,26,1,1,0,34,46,6,0,1,6,0,36,2,1,6,1,18
101908,931,2,1,24,16,0,20,34,0,15,21,0,0,11,25,2,49,18,32,0,10,1,23,35,10,16,0,0,32,32,2,0,0,24,30,1,0,11,26,46,34,24,0,26,8,0,13,5,22,1,13,0,0,1,10,0,38,3,5,0,35,38,11,0,2,7,1,26,4,0,14,3,18
101909,1115,4,2,32,17,0,15,61,0,16,25,5,0,2,49,1,57,40,38,0,1,1,37,37,23,7,0,0,43,42,15,0,0,17,35,1,0,25,23,52,43,19,1,40,12,3,15,5,8,3,13,1,1,2,6,0,40,1,3,0,35,49,2,1,4,19,1,37,4,0,3,2,19
101910,1171,6,0,28,24,0,24,45,0,25,25,3,0,4,34,2,76,25,33,0,15,0,37,46,22,13,0,0,34,47,12,0,0,22,33,0,0,20,33,36,41,19,1,36,11,0,17,7,23,5,19,0,0,1,15,0,39,1,5,0,33,61,6,0,3,18,2,35,4,3,6,4,32
101911,1008,4,2,20,26,1,25,49,0,16,27,3,0,1,36,3,62,22,37,1,14,0,36,29,15,14,0,0,34,34,14,1,0,14,17,0,0,16,27,33,34,19,1,33,8,1,10,7,16,4,6,1,0,2,14,2,32,1,2,1,33,49,1,0,3,11,3,41,5,4,5,1,25
101912,900,7,1,28,14,0,21,40,0,23,13,3,1,6,32,3,46,21,29,0,3,1,21,35,22,9,0,1,34,35,4,1,0,16,25,0,1,13,21,47,21,24,2,23,5,1,14,3,13,3,13,0,0,1,3,2,26,3,3,2,31,40,6,1,1,14,2,35,2,2,8,1,18
101913,1042,2,1,23,11,0,23,40,0,21,12,7,0,9,40,4,45,26,28,0,7,1,27,38,23,19,1,0,34,46,7,0,1,24,35,0,0,17,15,55,34,27,0,37,12,0,15,5,19,0,18,0,1,1,9,1,39,3,4,0,35,41,10,0,4,8,0,35,4,0,11,1,26
101914,1248,7,0,34,24,0,22,54,0,26,36,6,0,4,40,4,59,29,43,0,10,2,47,43,11,12,0,0,40,45,14,0,0,20,37,0,0,20,34,48,47,23,0,55,10,0,15,4,8,2,12,0,1,2,13,0,52,4,2,0,51,61,5,0,2,11,3,44,5,4,6,1,34
101915,1348,6,2,50,28,1,28,61,3,29,31,7,0,2,52,3,72,42,41,0,4,1,37,53,28,9,0,0,44,48,19,1,2,23,30,0,1,31,26,64,39,20,0,46,6,0,23,10,15,3,18,1,0,1,14,3,40,3,1,0,39,64,4,2,2,11,1,56,4,1,5,2,35
101916,1164,4,1,32,16,0,19,47,0,17,23,4,0,6,50,4,63,34,38,2,7,0,30,47,27,10,0,0,43,43,16,0,1,23,44,1,0,17,25,53,37,19,2,42,15,0,17,6,16,7,16,1,0,1,11,1,39,3,2,1,45,44,6,0,4,8,2,39,5,5,7,0,16
101917,1152,3,4,25,16,0,35,55,0,21,23,3,1,7,28,7,71,28,30,0,11,1,25,50,34,15,1,0,38,45,14,0,0,29,36,0,0,15,24,52,27,28,1,33,15,0,10,5,17,1,20,3,1,1,13,1,38,4,5,0,33,49,8,2,0,12,1,36,7,3,6,4,21
101918,1091,1,1,33,25,0,21,47,2,18,25,6,0,3,33,2,51,26,43,1,9,1,38,33,19,14,2,1,34,29,13,2,0,16,34,1,1,22,26,49,38,13,0,42,10,3,11,2,14,1,13,3,2,1,11,4,36,5,2,3,42,47,8,2,3,18,1,37,3,2,5,3,24
101919,1140,2,0,40,17,2,26,48,2,28,25,7,2,2,42,5,61,37,38,0,9,0,32,40,27,11,2,0,33,39,16,2,0,20,32,0,0,19,23,50,38,18,1,44,13,2,12,6,15,1,16,0,1,1,10,0,42,5,2,0,43,45,3,0,1,8,0,41,4,0,4,1,24
101920,1089,4,0,44,12,0,21,42,0,19,17,3,2,1,36,4,57,31,36,0,3,0,26,41,18,5,2,0,32,49,14,4,0,19,29,0,1,29,24,60,41,16,1,35,12,1,29,6,8,2,17,2,0,1,5,4,43,2,3,0,38,46,2,0,1,19,0,42,4,1,5,0,18
102001,1673,1,1,70,38,4,17,52,0,15,50,10,0,7,49,4,93,39,105,3,10,70,89,98,16,7,1,1,66,23,25,0,3,13,33,0,0,22,34,79,26,16,0,81,2,1,4,1,27,2,17,1,7,2,9,0,28,1,3,0,89,80,0,1,7,19,0,46,1,0,2,9,43
102002,1848,4,2,80,41,2,10,46,0,24,59,12,0,7,52,9,113,42,118,0,12,79,110,102,13,10,0,0,73,29,29,0,3,6,44,2,0,18,55,86,31,6,2,90,2,3,4,1,24,1,12,1,4,1,14,1,36,3,1,1,99,108,2,0,6,20,2,41,2,0,2,1,35
102101,3121,4,0,93,45,0,87,164,0,69,44,35,0,1,134,7,157,69,89,0,1,0,142,136,103,12,1,0,122,104,21,1,0,58,83,0,0,40,20,175,96,68,1,129,62,0,17,15,17,0,51,2,50,3,43,4,73,52,2,1,94,105,3,2,4,70,2,81,6,2,10,0,39
102201,1032,1,1,45,33,0,18,41,0,16,16,10,1,9,46,3,48,18,43,1,3,0,50,43,12,9,1,0,52,14,15,0,1,6,27,0,0,21,30,71,24,24,0,41,3,0,0,1,14,0,5,0,3,0,2,0,23,2,1,0,60,49,0,0,1,8,1,33,2,0,2,0,28
102202,949,2,5,31,22,0,14,35,0,17,22,8,0,6,35,4,39,27,50,0,3,0,40,36,13,8,0,0,40,15,19,0,3,6,28,5,0,17,30,63,23,24,0,28,0,1,1,0,13,0,10,1,6,0,4,0,20,2,0,1,55,41,0,0,1,7,1,36,2,1,2,3,23
102203,1020,3,2,34,25,0,17,35,0,19,27,14,0,9,41,1,47,35,50,0,1,1,53,25,13,10,0,0,40,14,21,0,10,2,30,0,0,17,26,62,27,24,0,39,1,0,2,3,14,0,2,0,1,0,4,0,28,0,0,0,55,53,0,0,3,12,0,28,3,1,1,1,34
102204,1152,0,0,43,40,0,17,53,0,18,19,19,0,8,52,3,44,29,57,2,3,0,48,43,16,10,0,0,48,23,25,0,0,7,24,0,0,19,26,69,18,30,1,52,1,0,1,3,17,0,8,0,6,0,5,1,21,2,0,0,65,56,0,0,1,17,0,40,1,1,1,1,38
102205,983,0,1,37,36,0,17,42,0,13,21,10,0,6,35,5,41,24,56,0,1,0,40,35,4,8,0,0,45,17,24,0,0,2,28,0,0,22,25,56,22,21,0,41,0,0,2,2,17,0,2,0,2,0,5,2,31,3,2,2,52,45,1,0,1,17,0,25,2,0,0,0,35
102206,1068,2,1,35,34,0,17,51,0,21,21,8,0,4,45,2,43,30,65,1,1,0,42,43,14,8,0,1,43,16,23,0,0,7,30,1,0,25,25,67,24,28,1,50,0,0,1,2,13,2,5,1,0,2,3,0,26,0,0,0,63,45,0,0,0,13,0,30,1,1,0,1,30
102301,2126,0,0,83,28,0,45,125,0,68,42,9,0,14,95,3,106,70,114,1,0,1,74,73,39,4,1,0,62,75,20,0,0,30,61,1,0,38,25,130,64,26,0,76,6,0,15,1,18,1,26,0,1,0,5,2,100,3,1,0,114,91,2,1,2,11,0,76,4,1,1,0,41
102302,2311,3,1,71,34,0,42,145,0,74,34,14,0,12,104,7,116,58,110,2,1,2,92,75,51,7,1,1,66,79,32,2,1,37,63,0,0,37,26,137,76,35,1,84,5,0,17,5,21,1,35,2,1,0,4,3,98,3,0,0,114,104,3,0,1,19,1,78,6,1,5,0,51
102401,1440,2,1,31,48,0,26,62,1,30,29,15,1,8,68,4,43,39,93,3,0,1,61,60,11,4,0,0,33,15,29,0,0,3,37,3,0,29,59,64,33,5,0,63,9,2,0,16,24,0,30,1,1,0,2,3,53,1,2,0,93,74,5,0,1,17,2,26,2,0,4,4,54
102402,1272,2,1,22,40,0,24,58,0,34,20,10,1,9,57,9,45,32,82,0,0,0,60,58,2,5,1,0,28,20,17,1,0,3,26,0,1,34,53,48,39,6,0,58,2,0,0,16,26,1,32,0,1,0,1,2,38,2,1,0,78,71,5,0,2,12,1,18,0,2,2,6,47
102403,1380,1,0,30,47,0,14,54,0,38,24,9,1,1,49,6,47,30,89,0,3,0,70,55,7,5,0,0,52,24,29,0,1,5,45,2,1,27,63,50,31,13,0,57,1,1,3,24,26,1,32,3,1,1,4,5,40,2,0,0,81,74,3,0,3,10,0,29,1,0,1,4,50
102501,1155,3,3,37,55,0,15,32,0,12,28,4,0,2,39,2,72,42,78,0,5,0,71,32,5,8,0,1,33,12,11,0,1,1,25,0,4,13,59,74,17,4,6,58,2,2,1,0,51,0,3,1,0,1,5,1,20,1,2,1,72,54,1,0,1,4,1,42,3,2,0,1,19
102502,1124,1,0,39,37,1,19,32,1,10,35,7,2,0,51,3,67,39,77,2,4,0,63,29,5,9,2,2,29,10,8,1,3,2,22,1,7,13,57,73,15,6,14,45,4,2,2,1,44,2,5,0,1,0,5,4,21,4,0,4,70,43,2,0,0,6,1,37,0,2,1,5,15
102503,1410,1,1,41,64,0,23,38,0,4,37,5,1,1,40,1,85,60,99,0,4,1,74,35,10,15,0,0,49,9,12,0,4,2,22,0,7,24,69,97,31,3,7,65,2,0,4,3,57,0,5,1,1,0,6,3,25,2,0,3,82,71,2,0,2,5,2,59,2,2,0,2,28
102504,1114,2,0,30,45,0,16,36,0,14,25,8,0,2,34,5,64,41,77,3,1,1,60,32,14,10,1,0,35,13,12,0,3,4,22,0,7,25,50,74,12,6,5,45,0,0,0,0,41,1,6,1,0,0,4,2,21,3,1,3,61,54,2,0,2,2,1,45,2,2,2,3,21
102505,1291,3,0,37,58,0,29,36,0,14,37,4,0,3,38,5,85,41,94,0,4,1,72,36,9,8,0,0,39,8,10,0,3,6,18,1,7,11,72,95,13,4,14,55,1,0,1,1,60,0,6,0,0,0,5,3,22,4,0,3,86,56,4,0,0,4,1,48,0,2,1,3,10
102506,1326,1,2,48,54,1,15,47,0,16,36,9,0,2,46,7,79,53,91,2,2,1,75,38,10,7,1,1,47,18,13,0,1,3,36,0,7,20,56,86,21,4,8,56,1,0,3,2,43,3,3,1,2,0,3,2,33,1,1,1,69,64,2,0,0,1,0,47,1,2,1,2,18
102507,1272,0,0,41,51,0,27,36,0,13,38,6,1,5,36,3,78,42,94,1,3,3,69,41,6,11,1,0,48,8,13,0,3,2,25,0,4,23,57,80,15,4,13,53,0,1,2,0,55,0,5,0,0,0,4,4,30,3,0,5,74,52,2,0,2,4,0,44,3,2,3,4,19
102508,1301,1,1,42,54,0,44,38,0,12,36,12,1,4,42,2,73,42,90,1,1,0,68,34,8,13,1,0,35,15,14,0,0,2,24,0,7,23,62,90,21,4,10,60,2,1,1,3,55,1,1,0,0,1,3,1,26,1,0,1,82,59,0,0,3,3,0,44,1,2,0,2,21
102601,1337,2,2,16,55,1,17,54,0,20,52,7,1,5,37,2,74,53,60,2,6,1,57,49,10,5,1,0,81,35,16,1,1,6,11,0,2,14,51,83,18,3,1,47,1,0,4,1,76,2,12,1,5,2,7,1,37,2,0,0,83,51,9,1,0,3,0,13,2,2,6,4,53
102602,1336,0,0,17,49,0,25,56,0,21,48,9,0,8,29,2,72,48,56,2,5,1,57,54,17,3,0,1,78,42,18,0,1,13,17,0,0,20,50,89,16,14,1,46,4,1,5,5,71,2,14,0,7,1,10,2,32,3,0,0,68,49,9,1,0,3,0,20,2,0,4,1,37
102603,1378,1,1,27,47,0,21,57,0,28,46,12,2,7,48,4,64,41,66,3,10,1,67,45,9,2,1,0,75,43,21,0,0,6,27,0,0,10,48,72,21,10,4,57,1,1,3,3,63,2,16,0,9,1,15,0,49,3,0,1,70,51,9,3,1,4,2,24,4,1,4,0,34
102604,1613,2,2,29,63,0,25,69,0,26,64,11,1,11,41,4,84,63,76,2,11,0,73,58,14,8,1,1,91,40,18,0,0,8,22,0,2,16,62,95,17,5,2,65,0,4,3,2,79,3,18,0,11,1,11,2,50,0,0,1,86,57,12,3,3,5,1,22,4,0,3,2,48
102701,1879,1,3,51,48,1,35,61,0,19,40,16,1,23,54,7,71,73,114,1,3,2,97,68,25,23,0,0,63,23,28,2,1,5,49,0,26,47,46,119,42,12,1,82,14,2,11,6,47,0,2,2,3,2,2,8,59,20,6,2,101,73,2,1,5,27,4,43,3,3,7,2,39
102702,1665,4,6,37,41,0,36,52,0,26,41,23,0,21,46,11,60,71,101,1,7,1,90,60,11,29,1,2,48,24,30,1,0,4,40,2,24,34,38,92,30,21,0,79,7,1,11,7,47,1,4,0,0,1,9,7,54,22,2,1,93,65,0,0,5,17,0,35,0,1,4,1,25
102801,1715,1,1,50,72,1,27,93,1,36,44,3,2,10,84,6,81,48,96,0,6,0,84,42,17,19,0,0,52,43,29,1,0,13,46,2,0,27,53,59,41,11,1,72,2,2,4,9,50,2,9,0,1,1,9,0,52,2,4,0,88,89,0,1,5,9,0,47,2,2,4,0,47
102802,1428,3,2,42,40,1,26,78,1,23,21,9,0,8,75,5,78,39,71,0,1,3,76,44,16,12,0,0,53,30,16,1,1,18,28,1,0,21,39,67,40,10,0,58,4,2,4,6,34,3,14,0,1,1,4,1,47,2,3,1,71,71,2,1,2,10,3,36,3,4,2,3,36
102901,1092,2,2,48,61,0,6,53,1,8,19,1,1,2,38,2,49,28,72,0,0,0,73,60,10,4,2,1,28,10,22,0,2,4,14,0,0,15,25,68,28,3,0,68,0,0,2,1,10,2,7,0,0,2,2,0,35,1,0,0,67,53,2,0,7,24,1,20,4,0,4,0,18
102902,1102,0,1,47,54,1,7,61,0,12,18,4,0,3,40,3,52,29,65,0,0,0,72,48,14,6,0,0,20,14,22,1,0,3,26,1,0,17,29,72,27,4,1,66,0,0,1,0,7,0,2,1,0,3,0,0,39,1,0,0,68,61,1,0,4,22,0,26,2,0,1,2,21
102903,874,0,1,32,49,0,4,43,0,7,15,1,1,1,23,1,36,22,62,0,1,0,62,53,8,1,0,1,18,11,19,0,0,4,13,1,1,13,19,52,20,5,0,56,0,0,3,2,11,0,4,0,1,1,0,1,28,0,0,0,58,36,0,0,7,19,0,22,2,0,0,0,23
102904,1051,1,0,42,56,0,8,56,0,8,27,4,0,5,36,2,47,26,64,0,0,0,66,54,7,11,0,0,29,15,14,0,0,4,21,1,1,15,26,67,27,9,0,65,1,0,1,0,3,2,6,1,1,2,1,2,25,1,0,0,63,51,1,1,3,20,0,20,6,2,0,2,22
103001,1354,1,2,56,49,1,10,45,0,27,59,9,0,4,59,5,50,59,79,0,2,0,64,75,8,3,0,0,29,13,18,1,0,2,31,0,5,21,58,86,19,7,0,68,1,0,5,3,34,0,8,2,1,0,7,1,50,0,8,0,76,52,2,1,2,18,1,18,3,0,1,3,32
103002,1381,3,0,63,49,0,15,52,0,31,53,12,1,2,66,8,62,56,84,1,0,0,66,75,10,2,1,1,23,8,20,0,1,1,39,0,4,13,60,89,19,7,0,71,1,0,7,3,33,0,3,0,0,1,7,0,43,0,6,0,84,54,3,0,1,11,0,23,2,1,0,6,24
103003,1426,0,0,51,56,1,12,58,0,22,56,11,0,2,64,10,65,52,77,1,0,1,57,79,6,4,0,0,37,10,13,0,0,1,40,0,3,21,57,88,29,13,0,73,0,1,5,2,25,1,5,2,0,1,7,1,54,0,6,2,82,66,0,2,4,18,2,22,2,2,1,8,35
103004,1320,2,1,53,57,1,10,55,0,19,51,12,1,3,60,5,66,46,70,1,0,1,62,76,7,3,1,0,32,13,19,0,0,4,38,0,2,23,50,75,28,10,1,65,0,0,4,2,25,0,5,2,0,2,6,0,48,1,2,1,70,44,1,0,3,14,2,18,2,1,0,11,33
103005,1502,1,0,55,61,0,12,60,0,31,56,14,0,4,69,2,63,64,82,0,0,0,62,70,7,8,0,0,38,9,19,0,1,3,47,0,8,23,61,94,31,7,0,78,0,0,7,1,33,0,5,3,0,1,9,0,55,1,8,0,86,61,0,0,4,22,0,21,3,0,3,3,36
103006,1376,0,0,55,49,0,16,58,0,26,45,22,0,7,67,6,55,54,75,0,1,0,59,74,11,10,0,0,30,8,15,1,1,1,46,0,4,20,54,91,30,7,1,70,0,0,6,1,25,0,5,2,1,0,5,1,45,0,7,0,83,53,0,0,5,14,0,19,4,1,1,4,25
103007,1416,0,0,45,45,0,15,58,0,24,45,11,0,6,58,4,68,58,77,1,0,1,62,77,14,7,0,1,34,17,19,0,1,6,45,0,7,22,58,93,28,12,0,66,0,0,5,4,25,0,10,2,0,0,3,1,47,3,4,0,68,61,0,0,6,16,0,31,2,0,2,6,35
103101,2899,6,1,109,24,1,4,135,0,26,26,7,0,4,86,4,188,179,118,0,1,0,73,86,134,24,0,0,16,73,35,0,1,5,194,0,0,60,56,104,125,8,0,186,1,1,70,5,6,3,2,3,0,7,15,0,120,19,0,0,136,145,3,1,35,66,1,79,17,4,5,0,56
103201,2220,1,0,69,18,0,0,40,0,10,15,7,0,0,29,2,154,125,130,0,0,0,106,61,40,13,1,0,5,48,25,0,0,0,140,0,0,35,77,110,144,8,0,170,6,0,42,1,0,0,0,1,0,4,1,0,23,20,0,0,137,142,1,2,47,77,0,32,2,5,1,2,91
